compilation fidelity (llm-frames:gpt-5 extractor) — dataset /home/itsatony/code/loom/datasets/frames-batch-v1/seed-19

type            world committed  exact  mangled  dropped  missed  hallucinated  precision   recall
facts             982       982    974        6        0       2             2      0.992    0.992
rules              40        40     40        0        0       0             0      1.000    1.000
supersessions      18        18     18        0        0       0             0      1.000    1.000

frame-assignment fidelity (F-E3):
  macro-F1 0.988 | coverage 1.000 (abstention 0.000) | fiction→actual leakage 0/48 (0.000, gate <0.02) | actual exile 0/874 (0.000)
  sarcasm believed 0/6 | frames recovered 7/7 (exact meta 7) | rule frames 40✓/0✗ | sup frames 18✓/0✗
  confusion (true → assigned: count):
    actual                 actual:874
    fic_01                 fic_01:24
    fic_02                 fic_02:24
    psp_jurisdiction_00    actual:1 psp_jurisdiction_00:10
    psp_jurisdiction_28    actual:1 psp_jurisdiction_28:11
    psp_product_12         psp_product_12:11
    scn_live               scn_live:13
    scn_pin                scn_pin:13

worst offenders (IDs, first 10 per class):
  facts mangled  [fct_0399 fct_0552 fct_0726 fct_0844 fct_0865 fct_0944]
  facts missed   [fct_0951 fct_0958]
