compilation fidelity (llm-frames:gpt-5 extractor) — dataset /home/itsatony/code/loom/datasets/frames-batch-v1/seed-14

type            world committed  exact  mangled  dropped  missed  hallucinated  precision   recall
facts             790       790    775       11        0       4             4      0.981    0.981
rules              38        38     38        0        0       0             0      1.000    1.000
supersessions      18        18     18        0        0       0             0      1.000    1.000

frame-assignment fidelity (F-E3):
  macro-F1 0.963 | coverage 1.000 (abstention 0.000) | fiction→actual leakage 4/48 (0.083, gate <0.02) | actual exile 0/684 (0.000)
  sarcasm believed 0/6 | frames recovered 7/7 (exact meta 7) | rule frames 38✓/0✗ | sup frames 18✓/0✗
  confusion (true → assigned: count):
    actual                 actual:684
    fic_01                 actual:2 fic_01:22
    fic_02                 actual:2 fic_02:22
    psp_jurisdiction_00    actual:3 psp_jurisdiction_00:8
    psp_partner_08         actual:1 psp_partner_08:10
    psp_product_06         psp_product_06:12
    scn_live               scn_live:11
    scn_pin                scn_pin:13

worst offenders (IDs, first 10 per class):
  facts mangled  [fct_0130 fct_0213 fct_0460 fct_0600 fct_0689 fct_0695 fct_0704 fct_0713 fct_0727 fct_0734]
  facts missed   [fct_0758 fct_0759 fct_0762 fct_0765]
