compilation fidelity (llm-frames:gpt-5 extractor) — dataset /home/itsatony/code/loom/datasets/frames-batch-v1/seed-25

type            world committed  exact  mangled  dropped  missed  hallucinated  precision   recall
facts             884       883    866       15        0       3             2      0.981    0.980
rules              40        40     40        0        0       0             0      1.000    1.000
supersessions      18        18     18        0        0       0             0      1.000    1.000

frame-assignment fidelity (F-E3):
  macro-F1 0.969 | coverage 0.999 (abstention 0.001) | fiction→actual leakage 6/48 (0.125, gate <0.02) | actual exile 0/777 (0.000)
  sarcasm believed 0/6 | frames recovered 7/7 (exact meta 7) | rule frames 40✓/0✗ | sup frames 18✓/0✗
  confusion (true → assigned: count):
    actual                 actual:777
    fic_01                 actual:3 fic_01:21
    fic_02                 actual:3 fic_02:21
    psp_jurisdiction_16    actual:2 psp_jurisdiction_16:8
    psp_product_03         psp_product_03:12
    psp_product_06         psp_product_06:11
    scn_live               scn_live:11
    scn_pin                scn_pin:14

worst offenders (IDs, first 10 per class):
  facts mangled  [fct_0049 fct_0189 fct_0302 fct_0549 fct_0599 fct_0644 fct_0700 fct_0779 fct_0790 fct_0797]
  facts missed   [fct_0853 fct_0868 fct_0883]
