compilation fidelity (llm-frames:gpt-5 extractor) — dataset /home/itsatony/code/loom/datasets/frames-batch-v1/seed-13

type            world committed  exact  mangled  dropped  missed  hallucinated  precision   recall
facts             993       991    978       11        0       4             2      0.987    0.985
rules              41        41     41        0        0       0             0      1.000    1.000
supersessions      18        18     18        0        0       0             0      1.000    1.000

frame-assignment fidelity (F-E3):
  macro-F1 0.972 | coverage 0.998 (abstention 0.002) | fiction→actual leakage 5/48 (0.104, gate <0.02) | actual exile 0/885 (0.000)
  sarcasm believed 0/6 | frames recovered 7/7 (exact meta 7) | rule frames 41✓/0✗ | sup frames 18✓/0✗
  confusion (true → assigned: count):
    actual                 actual:885
    fic_01                 actual:1 fic_01:23
    fic_02                 actual:4 fic_02:20
    psp_jurisdiction_08    actual:2 psp_jurisdiction_08:8
    psp_partner_11         psp_partner_11:11
    psp_sector_27          psp_sector_27:12
    scn_live               scn_live:13
    scn_pin                scn_pin:12

worst offenders (IDs, first 10 per class):
  facts mangled  [fct_0117 fct_0504 fct_0629 fct_0660 fct_0899 fct_0913 fct_0919 fct_0927 fct_0932 fct_0950]
  facts missed   [fct_0958 fct_0968 fct_0969 fct_0971]
