compilation fidelity (llm-frames:gpt-5 extractor) — dataset /home/itsatony/code/loom/datasets/frames-batch-v1/seed-10

type            world committed  exact  mangled  dropped  missed  hallucinated  precision   recall
facts             784       783    773        8        0       3             2      0.987    0.986
rules              40        40     40        0        0       0             0      1.000    1.000
supersessions      18        18     18        0        0       0             0      1.000    1.000

frame-assignment fidelity (F-E3):
  macro-F1 0.975 | coverage 0.999 (abstention 0.001) | fiction→actual leakage 3/48 (0.062, gate <0.02) | actual exile 0/674 (0.000)
  sarcasm believed 0/5 | frames recovered 7/7 (exact meta 7) | rule frames 40✓/0✗ | sup frames 18✓/0✗
  confusion (true → assigned: count):
    actual                 actual:674
    fic_01                 actual:1 fic_01:23
    fic_02                 actual:2 fic_02:22
    psp_asset_00           actual:1 psp_asset_00:11
    psp_product_03         actual:1 psp_product_03:9
    psp_sector_07          psp_sector_07:11
    scn_live               actual:1 scn_live:13
    scn_pin                scn_pin:14

worst offenders (IDs, first 10 per class):
  facts mangled  [fct_0074 fct_0242 fct_0252 fct_0552 fct_0693 fct_0701 fct_0712 fct_0736]
  facts missed   [fct_0755 fct_0763 fct_0776]
