compilation fidelity (llm-frames:qwen36-nvfp4 extractor) — dataset /home/itsatony/code/loom/datasets/frames-batch-v1/seed-10

type            world committed  exact  mangled  dropped  missed  hallucinated  precision   recall
facts             784       782    768       10        0       7             4      0.982    0.980
rules              40        40     39        1        0       0             0      0.975    0.975
supersessions      18        18     18        0        0       0             0      1.000    1.000

frame-assignment fidelity (F-E3):
  macro-F1 0.948 | coverage 0.996 (abstention 0.004) | fiction→actual leakage 7/48 (0.146, gate <0.02) | actual exile 0/674 (0.000)
  sarcasm believed 0/5 | frames recovered 7/7 (exact meta 7) | rule frames 40✓/0✗ | sup frames 18✓/0✗
  confusion (true → assigned: count):
    actual                 actual:672
    fic_01                 actual:2 fic_01:21
    fic_02                 actual:5 fic_02:19
    psp_asset_00           actual:3 psp_asset_00:9
    psp_product_03         psp_product_03:11
    psp_sector_07          actual:2 psp_sector_07:9
    scn_live               scn_live:14
    scn_pin                scn_pin:14

worst offenders (IDs, first 10 per class):
  facts mangled  [fct_0064 fct_0184 fct_0685 fct_0693 fct_0700 fct_0701 fct_0708 fct_0712 fct_0713 fct_0774]
  facts missed   [fct_0468 fct_0505 fct_0691 fct_0751 fct_0759 fct_0760 fct_0763]
  rules mangled  [rul_012]
